STATE,STATION,DATE,REPORT_TYPE,STATION.LATITUDE,STATION.LONGITUDE,DailyAverageDryBulbTemperature,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,POPULATION,STATE_AREA,STATE_DENSITY,MEDIAN_AGE,MEDIAN_HOUSEHOLD_INCOME,POVERTY_RATE,EMPLOYMENT_RATE
Arizona,PHOENIX,1/22/2020,SOD  ,33.43,-112,58,64,51,"7,171,646","113,563.60",63.151,38,"59,246",14,56.3
Arizona,PHOENIX,1/23/2020,SOD  ,33.43,-112,59,71,47,"7,171,646","113,564.60",63.15,38,"59,246",14,56.3
Arizona,PHOENIX,1/24/2020,SOD  ,33.43,-112,61,73,48,"7,171,646","113,565.60",63.15,38,"59,246",14,56.3
Arizona,PHOENIX,1/25/2020,SOD  ,33.43,-112,61,73,48,"7,171,646","113,566.60",63.149,38,"59,246",14,56.3
Arizona,PHOENIX,1/26/2020,SOD  ,33.43,-112,61,73,49,"7,171,646","113,567.60",63.149,38,"59,246",14,56.3
Arizona,PHOENIX,1/27/2020,SOD  ,33.43,-112,63,74,51,"7,171,646","113,568.60",63.148,38,"59,246",14,56.3
Arizona,PHOENIX,1/28/2020,SOD  ,33.43,-112,59,72,46,"7,171,646","113,569.60",63.148,38,"59,246",14,56.3
Arizona,PHOENIX,1/29/2020,SOD  ,33.43,-112,57,67,47,"7,171,646","113,570.60",63.147,38,"59,246",14,56.3
Arizona,PHOENIX,1/30/2020,SOD  ,33.43,-112,58,70,45,"7,171,646","113,571.60",63.146,38,"59,246",14,56.3
Arizona,PHOENIX,1/31/2020,SOD  ,33.43,-112,59,73,44,"7,171,646","113,572.60",63.146,38,"59,246",14,56.3
Arizona,PHOENIX,2/1/2020,SOD  ,33.43,-112,62,78,46,"7,171,646","113,573.60",63.145,38,"59,246",14,56.3
Arizona,PHOENIX,2/2/2020,SOD  ,33.43,-112,64,79,49,"7,171,646","113,574.60",63.145,38,"59,246",14,56.3
Arizona,PHOENIX,2/3/2020,SOD  ,33.43,-112,55,65,45,"7,171,646","113,575.60",63.144,38,"59,246",14,56.3
Arizona,PHOENIX,2/4/2020,SOD  ,33.43,-112,45,55,35,"7,171,646","113,576.60",63.144,38,"59,246",14,56.3
Arizona,PHOENIX,2/5/2020,SOD  ,33.43,-112,45,55,35,"7,171,646","113,577.60",63.143,38,"59,246",14,56.3
Arizona,PHOENIX,2/6/2020,SOD  ,33.43,-112,49,61,36,"7,171,646","113,578.60",63.143,38,"59,246",14,56.3
Arizona,PHOENIX,2/7/2020,SOD  ,33.43,-112,54,67,41,"7,171,646","113,579.60",63.142,38,"59,246",14,56.3
Arizona,PHOENIX,2/8/2020,SOD  ,33.43,-112,58,72,44,"7,171,646","113,580.60",63.141,38,"59,246",14,56.3
Arizona,PHOENIX,2/9/2020,SOD  ,33.43,-112,62,76,47,"7,171,646","113,581.60",63.141,38,"59,246",14,56.3
Arizona,PHOENIX,2/10/2020,SOD  ,33.43,-112,62,72,52,"7,171,646","113,582.60",63.14,38,"59,246",14,56.3
Arizona,PHOENIX,2/11/2020,SOD  ,33.43,-112,54,60,47,"7,171,646","113,583.60",63.14,38,"59,246",14,56.3
Arizona,PHOENIX,2/12/2020,SOD  ,33.43,-112,54,64,43,"7,171,646","113,584.60",63.139,38,"59,246",14,56.3
Arizona,PHOENIX,2/13/2020,SOD  ,33.43,-112,56,68,43,"7,171,646","113,585.60",63.139,38,"59,246",14,56.3
Arizona,PHOENIX,2/14/2020,SOD  ,33.43,-112,60,72,48,"7,171,646","113,586.60",63.138,38,"59,246",14,56.3
Arizona,PHOENIX,2/15/2020,SOD  ,33.43,-112,60,73,46,"7,171,646","113,587.60",63.138,38,"59,246",14,56.3
Arizona,PHOENIX,2/16/2020,SOD  ,33.43,-112,60,74,46,"7,171,646","113,588.60",63.137,38,"59,246",14,56.3
Arizona,PHOENIX,2/17/2020,SOD  ,33.43,-112,63,76,49,"7,171,646","113,589.60",63.136,38,"59,246",14,56.3
Arizona,PHOENIX,2/18/2020,SOD  ,33.43,-112,65,79,51,"7,171,646","113,590.60",63.136,38,"59,246",14,56.3
Arizona,PHOENIX,2/19/2020,SOD  ,33.43,-112,66,79,53,"7,171,646","113,591.60",63.135,38,"59,246",14,56.3
Arizona,PHOENIX,2/20/2020,SOD  ,33.43,-112,67,82,51,"7,171,646","113,592.60",63.135,38,"59,246",14,56.3
Arizona,PHOENIX,2/21/2020,SOD  ,33.43,-112,70,77,62,"7,171,646","113,593.60",63.134,38,"59,246",14,56.3
Arizona,PHOENIX,2/22/2020,SOD  ,33.43,-112,63,69,56,"7,171,646","113,594.60",63.134,38,"59,246",14,56.3
Arizona,PHOENIX,2/23/2020,SOD  ,33.43,-112,57,64,49,"7,171,646","113,595.60",63.133,38,"59,246",14,56.3
Arizona,PHOENIX,2/24/2020,SOD  ,33.43,-112,60,71,49,"7,171,646","113,596.60",63.133,38,"59,246",14,56.3
Arizona,PHOENIX,2/25/2020,SOD  ,33.43,-112,58,68,47,"7,171,646","113,597.60",63.132,38,"59,246",14,56.3
Arizona,PHOENIX,2/26/2020,SOD  ,33.43,-112,57,67,46,"7,171,646","113,598.60",63.131,38,"59,246",14,56.3
Arizona,PHOENIX,2/27/2020,SOD  ,33.43,-112,61,77,45,"7,171,646","113,599.60",63.131,38,"59,246",14,56.3
Arizona,PHOENIX,2/28/2020,SOD  ,33.43,-112,64,77,51,"7,171,646","113,600.60",63.13,38,"59,246",14,56.3
Arizona,PHOENIX,2/29/2020,SOD  ,33.43,-112,65,79,51,"7,171,646","113,601.60",63.13,38,"59,246",14,56.3
Arizona,PHOENIX,3/1/2020,SOD  ,33.43,-112,65,77,53,"7,171,646","113,602.60",63.129,38,"59,246",14,56.3
